dataset,n,format,raw_size_mib,compressed_size_mib,encode_seconds,decode_seconds,encode_mb_s,decode_mb_s,compression_ratio,encode_time_ratio,decode_time_ratio,encode_rss_mb,decode_rss_mb,trace_wall_seconds,trace_timeout,trace_target_seen,cpu_symbol_status,cpu_top_symbol,cpu_top_count,cpu_top_category,cpu_parse_hits,cpu_encode_hits,cpu_fse_hits,cpu_swift_array_hits,encode_cpu_power_mw,decode_cpu_power_mw,encode_cpu_energy_j,decode_cpu_energy_j,encode_cpu_energy_ratio_tgz,decode_cpu_energy_ratio_tgz
資料夾,N,格式,原始大小(M),壓縮後(M),壓縮耗時(秒),解壓耗時(秒),壓縮 MB/s,解壓 MB/s,壓縮比,壓縮時間比,解壓時間比,Encode RSS(MB),Decode RSS(MB),Trace wall time(秒),Trace timeout,Trace target seen,CPU Symbol Status,CPU Top Symbol,CPU Top Count,CPU Top Category,CPU Parse Hits,CPU Encode Hits,CPU FSE Hits,CPU Swift Array Hits,Encode CPU Power(mW),Decode CPU Power(mW),Encode CPU Energy(J),Decode CPU Energy(J),Encode CPU Energy Ratio (TGZ=1),Decode CPU Energy Ratio (TGZ=1)
claw-code,40,TGZ,1351M,468M,55.92,2.20,25.33,643.73,1.0000,1.0000,1.0000,,,,,,,,,,,,,,,,,,,,
claw-code,40,LZFSE (Other3),1351M,460M,5.15,1.86,275.17,760.88,0.9818,0.0921,0.8461,,,,,,,,,,,,,,,,,,,,
claw-code,40,LZFSE (Lazy2),1351M,408M,36.56,1.66,38.75,853.10,0.8704,0.6537,0.7546,,,,,,,,,,,,,,,,,,,,
claw-code,40,LZFSE (Optimal),1351M,387M,80.67,1.58,17.56,897.15,0.8273,1.4427,0.7175,,,,,,,,,,,,,,,,,,,,
claw-code,40,LZFSE (BVX3),1351M,433M,5.18,1.77,273.65,800.88,0.9254,0.0926,0.8037,,,,,,,,,,,,,,,,,,,,
claw-code,40,TLZ4,1351M,550M,6.19,0.81,228.93,1752.22,1.1739,0.1107,0.3673,,,,,,,,,,,,,,,,,,,,
claw-code,40,ZSTD,1351M,366M,10.18,1.37,139.17,1037.07,0.7813,0.1820,0.6206,,,,,,,,,,,,,,,,,,,,
