format,nanoseconds,encoded_bytes,valid,verify,note
decodeTgz-n40,2316619800,491113864,yes,PASS,
decodeOther3-n40,1822634400,482162078,yes,PASS,
decodeBVX3-n40,1931880700,454460893,yes,PASS,
decodeLazy2-n40,1753904300,427459901,yes,PASS,
decodeOptimal-n40,1834831100,406318417,yes,PASS,
decodeLZ4-n40,829548100,576502945,yes,PASS,
decodeZSTD-n40,1572642900,383712268,yes,PASS,
