dataset,format,win_n_meaning,mac_n,win_encode_mb_s,mac_encode_mb_s,win_mac_speed_ratio,win_compress_ratio,mac_compress_ratio,compress_ratio_diff,win_encode_sec,mac_encode_sec,note
資料集,格式,Windows n=40 意義,macOS n,Win 壓縮 MB/s,Mac 壓縮 MB/s,Win/Mac 速度比,Win 壓縮比,Mac 壓縮比,壓縮比差異,Win 壓縮秒,Mac 壓縮秒,備註
claw-code,TGZ,single run (no -n),40,25.33,48.64,0.521,1.0000,1.0000,0.0000,55.92,29.12,
claw-code,LZFSE (Other3),inflight=40 (1 run),40,275.20,380.73,0.723,0.9818,0.9865,-0.0047,5.15,3.72,
claw-code,LZFSE (BVX3),inflight=40 (1 run),40,273.66,421.51,0.649,0.9254,0.9492,-0.0238,5.18,3.36,
claw-code,LZFSE (Lazy2),inflight=40 (1 run),40,38.75,57.84,0.670,0.8704,0.8998,-0.0294,36.56,24.48,
claw-code,LZFSE (Optimal),inflight=40 (1 run),40,17.56,29.90,0.587,0.8273,0.8574,-0.0301,80.67,47.37,
claw-code,TLZ4,single run (no -n),40,228.94,424.74,0.539,1.1739,1.1793,-0.0054,6.19,3.33,
claw-code,ZSTD,single run (no -n),40,139.17,363.63,0.383,0.7813,0.8245,-0.0432,10.18,3.89,
