bundle,process,state,total_ms,share_pct,intervals,threads,running_p_core_ms,running_e_core_ms,thermal_throttled_intervals
system-20260813-223136,swift_tar_DOE (71018),Blocked,4867.023,99.94,56,1,0.202,0.860,0
system-20260813-223136,(unknown),Blocked,962.977,100.00,1,0,0.000,0.000,0
system-20260813-223136,swift_tar_DOE (71018),Running,2.381,0.05,67,1,0.202,0.860,0
system-20260813-223136,swift_tar_DOE (71018),Runnable,0.291,0.01,55,1,0.202,0.860,0
system-20260813-223136,swift_tar_DOE (71018),Preempted,0.037,0.00,2,1,0.202,0.860,0
system-20260813-223136,swift_tar_DOE (71018),Interrupted,0.012,0.00,9,1,0.202,0.860,0
system-20260813-223136,(unknown),Runnable,0.002,0.00,1,0,0.000,0.000,0
