POWER_DONE llama.cpp-other3-n8-decode 01:18:08
RUNNING_POWER llama.cpp-apple-n8-encode 01:18:08
POWER_DONE llama.cpp-apple-n8-encode 01:18:15
RUNNING_POWER llama.cpp-apple-n8-decode 01:18:15
POWER_DONE llama.cpp-apple-n8-decode 01:18:17
RUNNING_POWER llama.cpp-bvx3-n8-encode 01:18:17
POWER_DONE llama.cpp-bvx3-n8-encode 01:18:19
RUNNING_POWER llama.cpp-bvx3-n8-decode 01:18:19
POWER_DONE llama.cpp-bvx3-n8-decode 01:18:20
RUNNING_POWER llama.cpp-lazy2-n8-encode 01:18:20
POWER_DONE llama.cpp-lazy2-n8-encode 01:18:28
RUNNING_POWER llama.cpp-lazy2-n8-decode 01:18:28
POWER_DONE llama.cpp-lazy2-n8-decode 01:18:29
RUNNING_POWER llama.cpp-optimal-n8-encode 01:18:29
POWER_DONE llama.cpp-optimal-n8-encode 01:18:55
RUNNING_POWER llama.cpp-optimal-n8-decode 01:18:55
POWER_DONE llama.cpp-optimal-n8-decode 01:18:56
RUNNING_POWER llama.cpp-other3-n4-encode 01:18:56
POWER_DONE llama.cpp-other3-n4-encode 01:18:59
RUNNING_POWER llama.cpp-other3-n4-decode 01:18:59
POWER_DONE llama.cpp-other3-n4-decode 01:19:00
RUNNING_POWER llama.cpp-apple-n4-encode 01:19:00
POWER_DONE llama.cpp-apple-n4-encode 01:19:08
RUNNING_POWER llama.cpp-apple-n4-decode 01:19:08
POWER_DONE llama.cpp-apple-n4-decode 01:19:09
RUNNING_POWER llama.cpp-bvx3-n4-encode 01:19:09
POWER_DONE llama.cpp-bvx3-n4-encode 01:19:12
RUNNING_POWER llama.cpp-bvx3-n4-decode 01:19:12
POWER_DONE llama.cpp-bvx3-n4-decode 01:19:13
RUNNING_POWER llama.cpp-lazy2-n4-encode 01:19:13
POWER_DONE llama.cpp-lazy2-n4-encode 01:19:23
RUNNING_POWER llama.cpp-lazy2-n4-decode 01:19:23
POWER_DONE llama.cpp-lazy2-n4-decode 01:19:24
RUNNING_POWER llama.cpp-optimal-n4-encode 01:19:24
POWER_DONE llama.cpp-optimal-n4-encode 01:20:00
RUNNING_POWER llama.cpp-optimal-n4-decode 01:20:00
POWER_DONE llama.cpp-optimal-n4-decode 01:20:01
POWER_BENCHMARK_DONE 01:20:02
